"id","title","content","created_at","user_id","image_filename","thumbnail_filename","alt_text","video_embed_url","is_published","published_at","views","updated_at","tags","category_id","meta_description"
1,"dasdasdasdasd","<p>asdasd</p><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/0dfc9f062b3d4444827f33453547adf5.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/c5f10968006d4b36b062ef10d375c3db.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/7bad3047852e47e0b2905263694480de.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/6e8e3b3b451347cb838271c676f491f6.webp"" width=""1000"" height=""1500""></figure><p>&nbsp;</p>","2025-06-01 16:52:16.358156",1,"","","","","","",0,"2025-06-01 16:52:16.35816","asd","",""
2,"dasda","<p>asdasd</p><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/0dfc9f062b3d4444827f33453547adf5.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/c5f10968006d4b36b062ef10d375c3db.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/7bad3047852e47e0b2905263694480de.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/6e8e3b3b451347cb838271c676f491f6.webp"" width=""1000"" height=""1500""></figure><p>&nbsp;</p>","2025-06-01 16:59:06.775679",1,"","","","","","",0,"2025-06-01 16:59:06.775683","","",""
3,"dsad","<p>asdasd</p><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/0dfc9f062b3d4444827f33453547adf5.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/c5f10968006d4b36b062ef10d375c3db.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/7bad3047852e47e0b2905263694480de.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/6e8e3b3b451347cb838271c676f491f6.webp"" width=""1000"" height=""1500""></figure><p>&nbsp;</p>","2025-06-01 16:59:19.515641",1,"","","","","","",0,"2025-06-01 16:59:19.515644","","",""
4,"dasd","<p>asdasd</p><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/0dfc9f062b3d4444827f33453547adf5.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/c5f10968006d4b36b062ef10d375c3db.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/7bad3047852e47e0b2905263694480de.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/6e8e3b3b451347cb838271c676f491f6.webp"" width=""1000"" height=""1500""></figure><p>&nbsp;</p>","2025-06-01 17:00:18.235244",1,"","","","","","",0,"2025-06-01 17:00:18.235249","","",""
6,"dsad","<p>asdasd</p><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/0dfc9f062b3d4444827f33453547adf5.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/c5f10968006d4b36b062ef10d375c3db.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/7bad3047852e47e0b2905263694480de.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/6e8e3b3b451347cb838271c676f491f6.webp"" width=""1000"" height=""1500""></figure><p>&nbsp;</p>","2025-06-01 17:03:28.972851",1,"","","","",1,"2025-06-01 17:03:28.971994",1,"2025-06-01 17:03:35.695405","","",""
7,"dasdasd","<p>asdasd</p><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/0dfc9f062b3d4444827f33453547adf5.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/c5f10968006d4b36b062ef10d375c3db.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/7bad3047852e47e0b2905263694480de.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/6e8e3b3b451347cb838271c676f491f6.webp"" width=""1000"" height=""1500""></figure><p>&nbsp;</p>","2025-06-01 17:03:47.703697",1,"","","","",1,"2025-06-01 17:03:47.703147",1,"2025-06-01 17:03:51.691099","","",""
10,"커버 이미지","<figure class=""image""><img style=""aspect-ratio:1000/778;"" src=""http://localhost:5000/static/uploads/976961fab7e44c5eb6b22934b544085c.webp"" width=""1000"" height=""778""></figure><figure class=""image""><img style=""aspect-ratio:1000/778;"" src=""http://localhost:5000/static/uploads/1462d0cf8d93421e9a57b3c3d5e60105.webp"" width=""1000"" height=""778""></figure>","2025-06-01 17:16:31.423045",1,"","","","",1,"2025-06-01 17:16:31.422468",1,"2025-06-01 17:16:36.983214","","",""
11,"커버테스트","<figure class=""image""><img style=""aspect-ratio:1000/778;"" src=""http://localhost:5000/static/uploads/976961fab7e44c5eb6b22934b544085c.webp"" width=""1000"" height=""778""></figure><figure class=""image""><img style=""aspect-ratio:1000/778;"" src=""http://localhost:5000/static/uploads/1462d0cf8d93421e9a57b3c3d5e60105.webp"" width=""1000"" height=""778""></figure>","2025-06-01 17:16:58.557655",1,"","","","",1,"2025-06-01 17:16:58.557248",0,"2025-06-01 17:16:58.557657","","",""
9,"귤뽁이","<figure class=""image""><img style=""aspect-ratio:1000/778;"" src=""http://localhost:5000/static/uploads/976961fab7e44c5eb6b22934b544085c.webp"" width=""1000"" height=""778""></figure><figure class=""image""><img style=""aspect-ratio:1000/778;"" src=""http://localhost:5000/static/uploads/1462d0cf8d93421e9a57b3c3d5e60105.webp"" width=""1000"" height=""778""></figure>","2025-06-01 17:15:50.305407",1,"","","","",1,"2025-06-01 17:20:37.037852",0,"2025-06-01 17:20:37.04601","","",""
5,"dasdasd","<p>asdasd</p><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/0dfc9f062b3d4444827f33453547adf5.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/c5f10968006d4b36b062ef10d375c3db.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/7bad3047852e47e0b2905263694480de.webp"" width=""1000"" height=""1500""></figure><figure class=""image""><img style=""aspect-ratio:1000/1500;"" src=""http://localhost:5000/static/uploads/6e8e3b3b451347cb838271c676f491f6.webp"" width=""1000"" height=""1500""></figure><p>&nbsp;</p>","2025-06-01 17:00:44.410271",1,"","","","",1,"2025-06-02 04:07:35.378503",0,"2025-06-02 04:07:35.379962","","",""
